Alexa_Date,Alexa_caseload
1/1/2019,11
1/2/2019,8
1/3/2019,9
1/4/2019,9
1/5/2019,9
1/6/2019,9
1/7/2019,9
1/8/2019,9
1/9/2019,10
1/10/2019,10
1/11/2019,10
1/12/2019,10
1/13/2019,10
1/14/2019,10
1/15/2019,10
1/16/2019,11
1/17/2019,11
1/18/2019,10
1/19/2019,11
1/20/2019,11
1/21/2019,11
1/22/2019,11
1/23/2019,11
1/24/2019,12
1/25/2019,12
1/26/2019,12
1/27/2019,12
1/28/2019,9
1/29/2019,8
1/30/2019,9
1/31/2019,9
2/1/2019,9
2/2/2019,9
2/3/2019,9
2/4/2019,9
2/5/2019,9
2/6/2019,9
2/7/2019,9
2/8/2019,10
2/9/2019,9
2/10/2019,9
2/11/2019,9
2/12/2019,9
2/13/2019,9
2/14/2019,9
2/15/2019,9
2/16/2019,9
2/17/2019,9
2/18/2019,10
2/19/2019,10
2/20/2019,10
2/21/2019,10
2/22/2019,8
2/23/2019,8
2/24/2019,8
2/25/2019,9
2/26/2019,9
2/27/2019,10
2/28/2019,10
3/1/2019,9
3/2/2019,9
3/3/2019,10
3/4/2019,10
3/5/2019,10
3/6/2019,10
3/7/2019,9
3/8/2019,9
3/9/2019,9
3/10/2019,10
3/11/2019,10
3/12/2019,10
3/13/2019,10
3/14/2019,11
3/15/2019,11
3/16/2019,11
3/17/2019,11
3/18/2019,12
3/19/2019,12
3/20/2019,11
3/21/2019,11
3/22/2019,11
3/23/2019,11
3/24/2019,11
3/25/2019,11
3/26/2019,11
3/27/2019,12
3/28/2019,13
3/29/2019,13
3/30/2019,13
3/31/2019,13
4/1/2019,12
4/2/2019,13
4/3/2019,13
4/4/2019,14
4/5/2019,14
4/6/2019,14
4/7/2019,14
4/8/2019,15
4/9/2019,15
4/10/2019,13
4/11/2019,13
4/12/2019,14
4/13/2019,14
4/14/2019,14
4/15/2019,13
4/16/2019,14
4/17/2019,14
4/18/2019,14
4/19/2019,15
4/20/2019,15
4/21/2019,15
4/22/2019,15
4/23/2019,15
4/24/2019,15
4/25/2019,14
4/26/2019,14
4/27/2019,14
4/28/2019,14
4/29/2019,14
4/30/2019,14
5/1/2019,15
5/2/2019,15
5/3/2019,15
5/4/2019,15
5/5/2019,15
5/6/2019,16
5/7/2019,17
5/8/2019,17
5/9/2019,18
5/10/2019,19
5/11/2019,19
5/12/2019,19
5/13/2019,17
5/14/2019,16
5/15/2019,16
5/16/2019,16
5/17/2019,17
5/18/2019,15
5/19/2019,15
5/20/2019,15
5/21/2019,16
5/22/2019,17
5/23/2019,17
5/24/2019,17
5/25/2019,17
5/26/2019,17
5/27/2019,18
5/28/2019,19
5/29/2019,19
5/30/2019,19
5/31/2019,19
6/1/2019,19
6/2/2019,19
6/3/2019,18
6/4/2019,17
6/5/2019,18
6/6/2019,18
6/7/2019,18
6/8/2019,19
6/9/2019,19
6/10/2019,17
6/11/2019,17
6/12/2019,16
6/13/2019,16
6/14/2019,16
6/15/2019,16
6/16/2019,16
6/17/2019,14
6/18/2019,14
6/19/2019,14
6/20/2019,14
6/21/2019,14
6/22/2019,14
6/23/2019,14
6/24/2019,15
6/25/2019,14
6/26/2019,12
6/27/2019,12
6/28/2019,13
6/29/2019,13
6/30/2019,13
7/1/2019,13
7/2/2019,13
7/3/2019,13
7/4/2019,13
7/5/2019,13
7/6/2019,13
7/7/2019,13
7/8/2019,13
7/9/2019,13
7/10/2019,13
7/11/2019,14
7/12/2019,14
7/13/2019,14
7/14/2019,14
7/15/2019,14
7/16/2019,14
7/17/2019,14
7/18/2019,15
7/19/2019,15
7/20/2019,15
7/21/2019,15
7/22/2019,15
7/23/2019,16
7/24/2019,16
7/25/2019,16
7/26/2019,16
7/27/2019,15
7/28/2019,15
7/29/2019,13
7/30/2019,13
7/31/2019,10
8/1/2019,9
8/2/2019,9
8/3/2019,9
8/4/2019,9
8/5/2019,9
8/6/2019,9
8/7/2019,9
8/8/2019,9
8/9/2019,9
8/10/2019,9
8/11/2019,9
8/12/2019,9
8/13/2019,10
8/14/2019,10
8/15/2019,10
8/16/2019,11
8/17/2019,11
8/18/2019,11
8/19/2019,11
8/20/2019,11
8/21/2019,10
8/22/2019,10
8/23/2019,9
8/24/2019,10
8/25/2019,10
8/26/2019,10
8/27/2019,10
8/28/2019,11
8/29/2019,11
8/30/2019,11
8/31/2019,11
9/1/2019,11
9/2/2019,11
9/3/2019,11
9/4/2019,11
9/5/2019,12
9/6/2019,12
9/7/2019,12
9/8/2019,12
9/9/2019,13
9/10/2019,14
9/11/2019,14
9/12/2019,12
9/13/2019,13
9/14/2019,13
9/15/2019,13
9/16/2019,13
9/17/2019,13
9/18/2019,13
9/19/2019,13
9/20/2019,14
9/21/2019,14
9/22/2019,14
9/23/2019,15
9/24/2019,16
9/25/2019,16
9/26/2019,17
9/27/2019,17
9/28/2019,16
9/29/2019,16
9/30/2019,15
10/1/2019,15
10/2/2019,15
10/3/2019,15
10/4/2019,15
10/5/2019,15
10/6/2019,15
10/7/2019,15
10/8/2019,13
10/9/2019,13
10/10/2019,13
10/11/2019,14
10/12/2019,14
10/13/2019,14
10/14/2019,14
10/15/2019,14
10/16/2019,14
10/17/2019,14
10/18/2019,14
10/19/2019,14
10/20/2019,15
10/21/2019,15
10/22/2019,16
10/23/2019,13
10/24/2019,14
10/25/2019,14
10/26/2019,14
10/27/2019,14
10/28/2019,14
10/29/2019,14
10/30/2019,14
10/31/2019,14
11/1/2019,14
11/2/2019,14
11/3/2019,14
11/4/2019,15
11/5/2019,14
11/6/2019,14
11/7/2019,15
11/8/2019,12
11/9/2019,12
11/10/2019,12
11/11/2019,12
11/12/2019,12
11/13/2019,12
11/14/2019,12
11/15/2019,12
11/16/2019,12
11/17/2019,12
11/18/2019,12
11/19/2019,12
11/20/2019,12
11/21/2019,12
11/22/2019,12
11/23/2019,12
11/24/2019,12
11/25/2019,11
11/26/2019,12
11/27/2019,12
11/28/2019,12
11/29/2019,12
11/30/2019,12
12/1/2019,12
12/2/2019,10
12/3/2019,12
12/4/2019,12
12/5/2019,12
12/6/2019,12
12/7/2019,12
12/8/2019,12
12/9/2019,12
12/10/2019,13
12/11/2019,13
12/12/2019,14
12/13/2019,15
12/14/2019,15
12/15/2019,15
12/16/2019,14
12/17/2019,15
12/18/2019,15
12/19/2019,16
12/20/2019,16
12/21/2019,17
12/22/2019,17
12/23/2019,17
12/24/2019,17
12/25/2019,17
12/26/2019,17
12/27/2019,16
12/28/2019,16
12/29/2019,17
12/30/2019,16
12/31/2019,16
1/1/2020,16
1/2/2020,15
1/3/2020,15
1/4/2020,15
1/5/2020,15
1/6/2020,14
1/7/2020,14
1/8/2020,14
1/9/2020,14
1/10/2020,14
1/11/2020,13
1/12/2020,13
1/13/2020,13
1/14/2020,11
1/15/2020,11
1/16/2020,11
1/17/2020,11
1/18/2020,11
1/19/2020,11
1/20/2020,11
1/21/2020,11
1/22/2020,11
1/23/2020,11
1/24/2020,11
1/25/2020,11
1/26/2020,11
1/27/2020,11
1/28/2020,11
1/29/2020,11
1/30/2020,11
1/31/2020,11
